serial_number,activity_date,name,score,grade,facility_address,facility_zip,owner_id,owner_name,pe_description,risk_level
DAPH9V6SH,7/1/2015,EL ANTOJITO,86,,12730 S FIGUEROA ST STE 104-5,90016,OW0001824,"AGUILAR, JOSE",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAAGGZ0S0,7/1/2015,KIMCHI PLUS,90,,1144 S WESTERN AVE #102,90006,OW0180942,"KIMCHI PLUS, INC","FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",MODERATE
DAHRBAPUW,7/1/2015,PRAEL THAI RESTAURANT,90,,4620 MELROSE AVE,90029,OW0034196,"SUJARITKIJPHAISAN, AMNAJ",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAIJIPC7R,7/1/2015,KATSUYA,91,,11777 SAN VICENTE BLVD,90049,OW0018550,"KATSU USA, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DAK3OXPB7,7/1/2015,THE SIX,91,,10668 W PICO BLVD,90064,OW0023709,MASA ORGANIC LLC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAIAYQAZG,7/1/2015,LITTLE FARMERS MARKET,92,,619 S ATLANTIC BLVD,90022,OW0007603,CHIN'S BROTHERS CORP,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",HIGH
DAFOCBEES,7/1/2015,LULUS CAFE,92,,7149 BEVERLY BLVD,90036,OW0022508,LULUS CAFE INC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAWXZBC2S,7/1/2015,SUSHI KOO,92,,8474 W 3RD ST STE #106,90048,OW0026338,NOYON INC.,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA41ITTXA,7/1/2015,MCDONALD'S #26929,92,,5008 N FIGUEROA ST,90042,OW0027092,P. R. PERNECKY MANAGEMENT,RESTAURANT (61-150) SEATS MODERATE RISK,MODERATE
DASN4EKRV,7/1/2015,BEVERLY ELITE CAFE,92,,7115 BEVERLY BLVD,90036,OW0024712,MOBEEUS INC.,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA0364641,7/1/2015,YEN SUSHI & SAKE BAR,93,,9618 W PICO BLVD STE 509,90035,OW0023835,"MAYC CENTURY, INC.",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA0EUDHJY,7/1/2015,CHAO KRUNG,94,,111 N FAIRFAX AVE,90036,OW0020081,KUNTEE SUPA,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAW0ZLIMY,7/1/2015,EL POLLO LOCO #5902,94,,5300 W CENTINELA AVE,90045,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DADLXIVT1,7/1/2015,FISH GRILL,94,,7226 BEVERLY BLVD,90036,OW0019739,KLEIN ROBERT,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DANDORFX9,7/1/2015,LOS COMPADRES,94,,2031 S CENTRAL AVE,90011,OW0021654,"LEZAMA, LORENZO",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAPISJLMG,7/1/2015,OTOMI RESTAURANT,94,,2506 1/2 E 1ST ST,90033,OW0038489,WATANABE YAYOI   (OTOMI RESTAURANT),RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAMFW0ZHS,7/1/2015,TOMATILLO MEXICAN GRILL & BBQ,94,,3435 WILSHIRE BLVD STE 108,90010,OW0126740,"MURRAY MOUNTAIN, INC",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAZQ2WMXZ,7/1/2015,TENDER GREENS,95,,13455 MAXELLA AVE #210,90292,OW0179061,T.Y.P. RESTAURANT GROUP INC.,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA3WGQELG,7/1/2015,ELITE CUISINE,95,,7119 BEVERLY BLVD,90036,OW0013261,GINGER ROOT INC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAM9XHJ5U,7/1/2015,SUBWAY SANDWICH #18772,95,,2590 GLENDALE BLVD,90039,OW0005591,C G INVESTMENTS INC,RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DAG6699UO,7/1/2015,QUIZNO'S SUB HOLLYWOOD,95,,6767 W SUNSET BLVD STE 1A,90028,OW0035161,"TE BROS, LLC",RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DAL5J0I00,7/1/2015,DOMINO'S PIZZA #8244,96,,7125 BEVERLY BLVD,90036,OW0010606,E.M. PIZZA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA0366335,7/1/2015,ORIGINAL NORTHEND PIZZERIA,96,,8514 W 3RD ST,90048,OW0026900,"ORIGINAL NORTHEND PIZZERIA,",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA0366355,7/1/2015,MIKA SUSHI,96,,8510 W 3RD ST,90048,OW0014703,HANADUL SUSHI CORP,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA0366375,7/1/2015,BEVERLY FALAFEL,96,,8508 W 3RD ST,90048,OW0004590,"BEVERLY FALAFEL, INC",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DATP1AWP7,7/1/2015,MARKET PROVISIONS,96,,8009 BEVERLY BLVD,90048,OW0036561,TRITRI FOODS INC.,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DASK7KIKW,7/1/2015,JAVISTA ORGANIC COFFEE BAR,98,,6707 W SUNSET BLVD,90028,OW0126889,"JAVISTA, INC.",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA58VMU20,7/1/2015,SUPER DOLLAR #6,98,,2220 S CENTRAL AVE,90011,OW0011878,FIRST LCH CORPORATION,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DAFYXH8TK,7/1/2015,CBS EXECUTIVE KITCHEN,99,,7800 BEVERLY BLVD,90036-2112,OW0105343,CBS,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAURZB0MD,7/2/2015,THE SANDWICH BAR,83,,606 S OLIVE ST STE #101,90014,OW0036775,TYC HOLDINGS LLC,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA2LGN6SY,7/2/2015,JUICE BAR,84,,2080 HILLHURST AVE,90027,OW0020845,LASSENS PETER,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAI5RIDIC,7/2/2015,ATLANTIC LIQUOR,87,,1010 S ATLANTIC BLVD,90022,OW0036041,"TNS ENTERPRISES, INC.","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DARD07ZGO,7/2/2015,WESTERN DOMA NOODLES,90,,429 N WESTERN AVE STE 10,90004,OW0003738,"BAIK, MI OK",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA0HPJE0D,7/2/2015,PALOMA MARKET,90,,4075 S MAIN ST,90037,OW0181065,JUANA DOMINGUEZ  SALVADOR,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DATSRFYXP,7/2/2015,KORNER GRILL,90,,4206 FOUNTAIN AVE,90029,OW0005906,"CAMACHO, JESUS J",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAIXICFSH,7/2/2015,BOOKS & CAFE,91,,3760 CENTINELA AVE,90066,OW0024649,MITSUWA CORPORATION,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA4V1I2B1,7/2/2015,ANTIQUE CAFE,91,,3465 W 6TH ST # 160,90020,OW0180380,SANGHEE HAN,RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DACH57HPC,7/2/2015,BANG NA,91,,637 N SPRING ST,90012,OW0178521,BARBARA SLIP LLC,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DACH4TGOW,7/2/2015,BERRIS KITCHEN,92,,11078 SANTA MONICA BLVD,90025,OW0129074,"BERRIS PIZZA WESTWOOD, INC",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAYG5MRTL,7/2/2015,VONS MARKET #3263,92,,1342 N ALVARADO ST,90026,OW0038181,THE VONS COMPANIES INC.,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA7DT6WQT,7/2/2015,MARISCOS CHENTE,93,,4532 S CENTINELA AVE,90066,OW0012836,"GARCIA, MAGDALENA",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
