Age,Gender,NumberOfChildren,CommuteTime,CountryOfResidence,HoursSpentLearningToCode,Income,IsSoftwareDev,LanguageAtHome,MaritalStatus,MoneySpentLearningToCode,MonthsSpentProgramming,ResourceBooks,ResourceCoursera,StudentDebtOwed,ID
28.0,male,,35.0,United States of America,30.0,32000.0,0.0,English,married or domestic partnership,0.0,1.0,,1.0,20000.0,92257
22.0,male,,90.0,United States of America,30.0,15000.0,0.0,English,,20.0,2.0,,1.0,,43079
19.0,male,,45.0,United States of America,20.0,48000.0,0.0,English,,50.0,24.0,,,,67780
26.0,female,,45.0,United States of America,20.0,43000.0,0.0,English,,100.0,3.0,,,7000.0,95684
20.0,female,,10.0,United States of America,25.0,6000.0,0.0,Khmer,,1300.0,48.0,,,,39053
34.0,male,,45.0,United States of America,5.0,40000.0,0.0,English,,0.0,12.0,,,,75059
23.0,male,,60.0,Singapore,8.0,32000.0,1.0,Mandarin Chinese,,400.0,13.0,,1.0,,33894
35.0,male,,120.0,United Kingdom,,40000.0,0.0,Telugu,married or domestic partnership,0.0,,,,,32734
33.0,male,,0.0,United States of America,5.0,80000.0,1.0,English,,3000.0,24.0,,1.0,,82451
33.0,male,,30.0,United States of America,20.0,80000.0,0.0,English,,30.0,12.0,,,180000.0,70512
57.0,male,,0.0,United States of America,8.0,20000.0,0.0,English,married or domestic partnership,400.0,360.0,,,,55720
23.0,male,,,Bangladesh,5.0,,0.0,Bengali,,0.0,12.0,,,,48782
47.0,male,,120.0,Canada,5.0,90000.0,0.0,English,,500.0,36.0,,1.0,,51739
,male,,40.0,United States of America,5.0,,0.0,English,,300.0,12.0,,,12000.0,63666
31.0,female,,150.0,Russia,10.0,,1.0,Russian,,,108.0,,1.0,,86210
27.0,female,,0.0,United States of America,4.0,80000.0,1.0,English,,600.0,36.0,,1.0,,47416
29.0,male,,30.0,United States of America,5.0,17000.0,0.0,English,,0.0,6.0,,,,75757
30.0,male,,0.0,Canada,2.0,16000.0,1.0,English,,0.0,36.0,,,,52174
30.0,male,,,Croatia,20.0,,0.0,Serbo-Croatian,"single, never married",2000.0,24.0,,,,97655
25.0,female,,,United States of America,,,1.0,Hindi,,,,,1.0,,86968
29.0,female,,80.0,United States of America,10.0,100000.0,1.0,English,"single, never married",0.0,90.0,,,,31434
44.0,female,,0.0,United States of America,30.0,41000.0,0.0,English,married or domestic partnership,75.0,2.0,,,50000.0,28253
21.0,male,,,India,25.0,,0.0,Hindi,,0.0,10.0,,,,62329
21.0,male,,,United States of America,25.0,,0.0,English,,0.0,20.0,,,40000.0,20861
28.0,male,,40.0,South Africa,1.0,12000.0,0.0,English,"single, never married",100.0,12.0,,,,18102
