Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,2004-01-01,93.0,93,0.0,81.0,85.0,12.0,8.0
Adelaide-Canberra,Adelaide,Canberra,Qantas,2004-01-01,48.0,48,0.0,45.0,45.0,3.0,3.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Qantas,2004-01-01,9.0,9,0.0,8.0,8.0,1.0,1.0
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,2004-01-01,352.0,350,2.0,317.0,325.0,33.0,25.0
Adelaide-Perth,Adelaide,Perth,Qantas,2004-01-01,130.0,130,0.0,121.0,125.0,9.0,5.0
Adelaide-Sydney,Adelaide,Sydney,Qantas,2004-01-01,332.0,331,1.0,313.0,323.0,18.0,8.0
Alice Springs-Sydney,Alice Springs,Sydney,Qantas,2004-01-01,33.0,33,0.0,31.0,33.0,2.0,0.0
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,2004-01-01,93.0,93,0.0,66.0,82.0,27.0,11.0
Brisbane-Cairns,Brisbane,Cairns,Qantas,2004-01-01,209.0,207,2.0,173.0,190.0,34.0,17.0
Brisbane-Canberra,Brisbane,Canberra,Qantas,2004-01-01,75.0,75,0.0,65.0,67.0,10.0,8.0
Brisbane-Darwin,Brisbane,Darwin,Qantas,2004-01-01,46.0,46,0.0,35.0,41.0,11.0,5.0
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-01-01,496.0,492,4.0,410.0,427.0,82.0,65.0
Brisbane-Perth,Brisbane,Perth,Qantas,2004-01-01,62.0,62,0.0,49.0,50.0,13.0,12.0
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-01-01,683.0,677,6.0,576.0,595.0,101.0,82.0
Brisbane-Townsville,Brisbane,Townsville,Qantas,2004-01-01,91.0,91,0.0,76.0,75.0,15.0,16.0
Broome-Perth,Broome,Perth,Qantas,2004-01-01,29.0,29,0.0,24.0,28.0,5.0,1.0
Cairns-Brisbane,Cairns,Brisbane,Qantas,2004-01-01,206.0,203,3.0,186.0,180.0,17.0,23.0
Cairns-Melbourne,Cairns,Melbourne,Qantas,2004-01-01,43.0,43,0.0,34.0,38.0,9.0,5.0
Cairns-Sydney,Cairns,Sydney,Qantas,2004-01-01,135.0,134,1.0,125.0,128.0,9.0,6.0
Canberra-Adelaide,Canberra,Adelaide,Qantas,2004-01-01,52.0,52,0.0,48.0,51.0,4.0,1.0
Canberra-Brisbane,Canberra,Brisbane,Qantas,2004-01-01,75.0,75,0.0,73.0,71.0,2.0,4.0
Canberra-Melbourne,Canberra,Melbourne,Qantas,2004-01-01,199.0,199,0.0,191.0,190.0,8.0,9.0
Canberra-Sydney,Canberra,Sydney,Qantas,2004-01-01,95.0,95,0.0,88.0,90.0,7.0,5.0
Darwin-Brisbane,Darwin,Brisbane,Qantas,2004-01-01,46.0,46,0.0,43.0,36.0,3.0,10.0
Darwin-Sydney,Darwin,Sydney,Qantas,2004-01-01,32.0,32,0.0,29.0,29.0,3.0,3.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Qantas,2004-01-01,9.0,9,0.0,7.0,7.0,2.0,2.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,2004-01-01,93.0,93,0.0,68.0,76.0,25.0,17.0
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,2004-01-01,207.0,204,3.0,169.0,183.0,35.0,21.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,2004-01-01,43.0,43,0.0,40.0,42.0,3.0,1.0
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,2004-01-01,353.0,352,1.0,316.0,331.0,36.0,21.0
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,2004-01-01,496.0,493,3.0,438.0,435.0,55.0,58.0
Melbourne-Cairns,Melbourne,Cairns,Qantas,2004-01-01,43.0,43,0.0,37.0,40.0,6.0,3.0
Melbourne-Canberra,Melbourne,Canberra,Qantas,2004-01-01,175.0,175,0.0,151.0,158.0,24.0,17.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,2004-01-01,93.0,93,0.0,82.0,81.0,11.0,12.0
Melbourne-Perth,Melbourne,Perth,Qantas,2004-01-01,198.0,198,0.0,163.0,158.0,35.0,40.0
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-01-01,821.0,799,22.0,723.0,706.0,76.0,93.0
Perth-Adelaide,Perth,Adelaide,Qantas,2004-01-01,125.0,125,0.0,115.0,122.0,10.0,3.0
Perth-Brisbane,Perth,Brisbane,Qantas,2004-01-01,62.0,62,0.0,47.0,55.0,15.0,7.0
Perth-Broome,Perth,Broome,Qantas,2004-01-01,29.0,29,0.0,28.0,27.0,1.0,2.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Qantas,2004-01-01,43.0,43,0.0,41.0,41.0,2.0,2.0
Perth-Melbourne,Perth,Melbourne,Qantas,2004-01-01,203.0,203,0.0,151.0,166.0,52.0,37.0
Perth-Sydney,Perth,Sydney,Qantas,2004-01-01,173.0,173,0.0,146.0,165.0,27.0,8.0
Sydney-Adelaide,Sydney,Adelaide,Qantas,2004-01-01,332.0,331,1.0,293.0,313.0,38.0,18.0
Sydney-Alice Springs,Sydney,Alice Springs,Qantas,2004-01-01,33.0,33,0.0,27.0,33.0,6.0,0.0
