date,ticker,open,high,low,close,adjusted_close,volume,sector
2014-01-02,AAPL,19.845715,19.893929,19.715,19.754642,17.253258,234684800,Electronics
2014-01-03,AAPL,19.745,19.775,19.301071,19.320715,16.874273,392467600,Electronics
2014-01-06,AAPL,19.194643,19.52857,19.057142,19.426071,16.966291,412610800,Electronics
2014-01-07,AAPL,19.44,19.498571,19.21143,19.287144,16.844955,317209200,Electronics
2014-01-08,AAPL,19.243214,19.484285,19.23893,19.409286,16.951628,258529600,Electronics
2014-01-09,AAPL,19.52857,19.530714,19.119642,19.161428,16.735157,279148800,Electronics
2014-01-10,AAPL,19.279642,19.314285,18.968214,19.033571,16.623487,304976000,Electronics
2014-01-13,AAPL,18.925358,19.375,18.924286,19.133215,16.710512,378492800,Electronics
2014-01-14,AAPL,19.222143,19.526072,19.202143,19.51393,17.04302,332561600,Electronics
2014-01-15,AAPL,19.768572,20.007143,19.702143,19.905714,17.385202,391638800,Electronics
2014-01-16,AAPL,19.817858,19.8875,19.702856,19.794643,17.288193,229278000,Electronics
2014-01-17,AAPL,19.695715,19.716785,19.282143,19.309643,16.864613,426739600,Electronics
2014-01-21,AAPL,19.321072,19.645357,19.300714,19.609644,17.12663,328526800,Electronics
2014-01-22,AAPL,19.675358,19.903214,19.564644,19.696787,17.202724,379985200,Electronics
2014-01-23,AAPL,19.640715,19.875,19.4575,19.863571,17.348396,403239200,Electronics
2014-01-24,AAPL,19.785713,19.84357,19.455357,19.5025,17.033043,429354800,Electronics
2014-01-27,AAPL,19.645357,19.814285,19.491072,19.660713,17.171225,554878800,Electronics
2014-01-28,AAPL,18.17,18.392857,17.93107,18.089287,15.798772,1065523200,Electronics
2014-01-29,AAPL,17.998215,18.120358,17.807858,17.883928,15.61942,502810000,Electronics
2014-01-30,AAPL,17.947857,18.089287,17.739286,17.849285,15.589156,678501600,Electronics
2014-01-31,AAPL,17.685,17.911785,17.626785,17.87857,15.614742,464797200,Electronics
2014-02-03,AAPL,17.950357,18.133215,17.832144,17.911785,15.643748,401464000,Electronics
2014-02-04,AAPL,18.06607,18.195,17.955713,18.17107,15.870204,376681200,Electronics
2014-02-05,AAPL,18.091429,18.402857,18.080357,18.306786,15.988735,328344800,Electronics
2014-02-06,AAPL,18.216429,18.339287,18.13607,18.303928,16.081926,257765200,Electronics
2014-02-07,AAPL,18.620714,18.676071,18.477858,18.56,16.306917,370280400,Electronics
2014-02-10,AAPL,18.523571,18.999643,18.5,18.8925,16.599049,345559200,Electronics
2014-02-11,AAPL,18.950357,19.205357,18.910713,19.14143,16.81776,282256800,Electronics
2014-02-12,AAPL,19.176786,19.27,19.044287,19.14,16.81651,308100800,Electronics
2014-02-13,AAPL,19.095,19.45893,19.078571,19.44393,17.08354,307398000,Electronics
2014-02-14,AAPL,19.373928,19.499287,19.32893,19.428213,17.069725,272924400,Electronics
2014-02-18,AAPL,19.5,19.685356,19.48607,19.499643,17.132492,260251600,Electronics
2014-02-19,AAPL,19.455357,19.531786,19.08393,19.191786,16.862005,313768000,Electronics
2014-02-20,AAPL,19.035357,19.178572,18.892857,18.969643,16.666828,305858000,Electronics
2014-02-21,AAPL,19.028214,19.091785,18.735714,18.758928,16.481695,278784800,Electronics
2014-02-24,AAPL,18.68393,18.925714,18.657858,18.84107,16.553862,288909600,Electronics
2014-02-25,AAPL,18.90643,18.913214,18.607143,18.645,16.381594,231952000,Electronics
2014-02-26,AAPL,18.700357,18.75,18.414286,18.476786,16.233803,276217200,Electronics
2014-02-27,AAPL,18.469286,18.885,18.430357,18.845358,16.55763,301882000,Electronics
2014-02-28,AAPL,18.895714,19.026787,18.647142,18.794287,16.51276,371968800,Electronics
2014-03-03,AAPL,18.693571,18.951786,18.671785,18.848572,16.560457,238781200,Electronics
2014-03-04,AAPL,18.964287,19.022858,18.848928,18.972857,16.669651,259140000,Electronics
2014-03-05,AAPL,18.96143,19.098213,18.8975,19.012857,16.70479,200062800,Electronics
2014-03-06,AAPL,19.028214,19.087143,18.860714,18.955357,16.654278,185488800,Electronics
2014-03-07,AAPL,18.9675,18.999287,18.7875,18.944286,16.644548,220729600,Electronics
2014-03-10,AAPL,18.87,19.0475,18.869286,18.96143,16.659616,178584000,Electronics
2014-03-11,AAPL,19.123215,19.240713,19.02107,19.14607,16.821836,279224400,Electronics
2014-03-12,AAPL,19.089643,19.19107,19,19.164642,16.838156,199326400,Electronics
2014-03-13,AAPL,19.194286,19.273571,18.898571,18.951786,16.65114,257742800,Electronics
2014-03-14,AAPL,18.885357,18.960358,18.678572,18.73893,16.464125,237199200,Electronics
2014-03-17,AAPL,18.84643,18.9275,18.780357,18.812143,16.52845,199544800,Electronics
2014-03-18,AAPL,18.782143,18.998928,18.757143,18.97857,16.674677,209647200,Electronics
2014-03-19,AAPL,19.009287,19.151428,18.892857,18.973572,16.670279,224756000,Electronics
2014-03-20,AAPL,18.924643,19.02393,18.83393,18.882143,16.58995,208398400,Electronics
2014-03-21,AAPL,18.9975,19.0625,18.7975,19.03107,16.720798,374046400,Electronics
2014-03-24,AAPL,19.229286,19.303572,19.109285,19.256786,16.919115,355700800,Electronics
2014-03-25,AAPL,19.339287,19.491072,19.27107,19.463928,17.10111,282293200,Electronics
2014-03-26,AAPL,19.518572,19.607143,19.245,19.277857,16.937622,299768000,Electronics
2014-03-27,AAPL,19.286428,19.339287,19.11143,19.195,16.86483,222031600,Electronics
2014-03-28,AAPL,19.225714,19.247856,19.080357,19.17357,16.846,200564000,Electronics
2014-03-31,AAPL,19.258215,19.314644,19.140356,19.169287,16.84224,168669200,Electronics
2014-04-01,AAPL,19.205713,19.3525,19.170357,19.344643,16.996305,200760000,Electronics
2014-04-02,AAPL,19.370714,19.41,19.295,19.376785,17.02455,180420800,Electronics
2014-04-03,AAPL,19.335358,19.375,19.20143,19.2425,16.90656,162344000,Electronics
2014-04-04,AAPL,19.278929,19.285713,18.949286,18.99357,16.68785,275251200,Electronics
2014-04-07,AAPL,18.857857,18.960714,18.63893,18.695356,16.42584,289850400,Electronics
2014-04-08,AAPL,18.756786,18.79,18.525,18.694286,16.424892,243888400,Electronics
2014-04-09,AAPL,18.665714,18.946072,18.643572,18.94,16.640783,206169600,Electronics
2014-04-10,AAPL,18.952856,19.008572,18.684643,18.695715,16.426153,239652000,Electronics
2014-04-11,AAPL,18.535713,18.6725,18.469286,18.5575,16.304716,271717600,Electronics
2014-04-14,AAPL,18.639286,18.648571,18.471786,18.63143,16.369673,205674000,Electronics
2014-04-15,AAPL,18.581072,18.63,18.261786,18.498571,16.252949,266490000,Electronics
2014-04-16,AAPL,18.501785,18.610357,18.362143,18.536072,16.285894,214765600,Electronics
2014-04-17,AAPL,18.571428,18.848572,18.542856,18.747856,16.471964,284334400,Electronics
2014-04-21,AAPL,18.762142,19.005,18.712856,18.970358,16.667454,182548800,Electronics
2014-04-22,AAPL,18.868214,18.993929,18.803572,18.989286,16.684088,202563200,Electronics
2014-04-23,AAPL,18.895,18.96893,18.730356,18.741072,16.466005,394940000,Electronics
2014-04-24,AAPL,20.293215,20.357143,20.026072,20.2775,17.81592,759911600,Electronics
2014-04-25,AAPL,20.161785,20.428213,20.14143,20.42643,17.946772,390275200,Electronics
2014-04-28,AAPL,20.457144,21.276787,20.448214,21.2175,18.64181,669485600,Electronics
2014-04-29,AAPL,21.205,21.285,21.053928,21.154642,18.58658,337377600,Electronics
2014-04-30,AAPL,21.165714,21.408215,21.064285,21.074642,18.51629,456640800,Electronics
2014-05-01,AAPL,21.142857,21.242857,20.94143,21.124287,18.559916,244048000,Electronics
2014-05-02,AAPL,21.155,21.22143,21.061071,21.16357,18.594429,191514400,Electronics
2014-05-05,AAPL,21.07643,21.464287,21.071428,21.462856,18.85738,287067200,Electronics
2014-05-06,AAPL,21.492857,21.586071,21.22893,21.22893,18.651844,374564400,Electronics
2014-05-07,AAPL,21.258928,21.331785,20.990356,21.154642,18.58658,282864400,Electronics
2014-05-08,AAPL,21.008928,21.22893,20.942858,20.999643,18.553455,230297200,Electronics
2014-05-09,AAPL,20.876429,20.9375,20.72607,20.912144,18.476145,291597600,Electronics
2014-05-12,AAPL,20.981787,21.202143,20.97857,21.1725,18.706171,213208800,Electronics
2014-05-13,AAPL,21.142857,21.23357,21.09643,21.205713,18.735518,159737200,Electronics
2014-05-14,AAPL,21.158215,21.335714,21.133572,21.209642,18.738987,166404000,Electronics
2014-05-15,AAPL,21.239286,21.307142,21.001429,21.029285,18.579636,230846000,Electronics
2014-05-16,AAPL,21.0225,21.340357,20.907143,21.339643,18.853842,276256400,Electronics
2014-05-19,AAPL,21.351786,21.690357,21.333214,21.5925,19.07724,317755200,Electronics
2014-05-20,AAPL,21.589643,21.657143,21.454643,21.596786,19.08103,234836000,Electronics
2014-05-21,AAPL,21.565357,21.667856,21.502144,21.653929,19.131516,196859600,Electronics
2014-05-22,AAPL,21.664286,21.780357,21.575,21.688213,19.161808,200760000,Electronics
2014-05-23,AAPL,21.6875,21.954643,21.659643,21.933214,19.378271,232209600,Electronics
2014-05-27,AAPL,21.995714,22.352142,21.986786,22.34393,19.741138,348866000,Electronics
2014-05-28,AAPL,22.357857,22.493929,22.277857,22.286072,19.690025,315481600,Electronics
